Gene_ID,Uniprot_ID,Concentration_µM,SRC_pKapp_sign,HCK_pKapp_sign,SRC_Kapp_sign,HCK_Kapp_sign,delta_pKapp,SRC_Complexome,HCK_Complexome,delta_complexome,log_Concentration_µM,log_SRC_Complexome,log_HCK_Complexome,log_delta_complexome,ratio_log_intra
HINT1,P49773,5.67021178848146,,,,,,,,,0.7535992805597599,,,,
GSTO1,P78417,5.55126942625804,,,,,,,,,0.7443923059659087,,,,
FLNA,P21333,5.53285932330971,,,,,,,,,0.7429496281236028,,,,
RPS7,P62081,5.51289323106251,,,,,,,,,0.7413795815216404,,,,
PSME3,P61289,5.48888482401144,,,,,,,,,0.7394841178610327,,,,
PRKCSH,P14314,5.47661267218767,,,,,,,,,0.7385120269832246,,,,
ATOX1,O00244,5.42767519138568,,,,,,,,,0.7346138502608024,,,,
FERMT2,Q96AC1,5.41930395343642,,,,,,,,,0.7339435100450946,,,,
RPL38,P63173,5.38692564124341,,,,,,,,,0.7313409807769646,,,,
RPL30,P62888,5.37613311913495,,,,,,,,,0.7304700138013459,,,,
ANXA6,P08133,5.34859383927535,,,,,,,,,0.7282396197572757,,,,
CANX,P27824,5.32812398422223,,,,,,,,,0.7265743222127448,,,,
PPA1,Q15181,5.30618527003278,,,,,,,,,0.7247824096772539,,,,
WDR1,O75083,5.26603729673826,,,,,,,,,0.7214839306740104,,,,
MDH2,P40926,5.24229842451036,,,,,,,,,0.7195217400804604,,,,
NUTF2,P61970,5.21786172588014,,,,,,,,,0.7174925660476578,,,,
PSMA7,O14818,5.17468957826343,,,,,,,,,0.7138843022466692,,,,
RPL35,P42766,5.15427226058695,,,,,,,,,0.7121673552602116,,,,
PPP1R14B,Q96C90,5.14181344732145,,,,,,,,,0.7111163157396301,,,,
IMPDH2,P12268,5.11546075456335,,,,,,,,,0.7088847571395495,,,,
AHCYL2,Q96HN2,5.10251614100177,,,,,,,,,0.707784387212099,,,,
MTHFD1,P11586,5.08113443759416,,,,,,,,,0.7059606857059875,,,,
TFRC,P02786,5.07330471826616,,,,,,,,,0.7052909481615105,,,,
PNP,P00491,5.06046064306912,,,,,,,,,0.7041900515507652,,,,
SPINT2,O43291,5.04708206744825,,,,,,,,,0.7030403665823377,,,,
PAICS,P22234,5.04288472694715,,,,,,,,,0.7026790409287273,,,,
CAP1,Q01518,5.01801027471796,,,,,,,,,0.7005315462270463,,,,
GDI2,P50395,4.94380110005484,,,,,,,,,0.6940609898141207,,,,
CCT7,Q99832,4.9208421237292,,,,,,,,,0.6920394317089216,,,,
PCBP1,Q15365,4.91853470918714,,,,,,,,,0.6918357404714649,,,,
ARPC4,P59998,4.91206321881802,,,,,,,,,0.6912639475889621,,,,
CCT3,P49368,4.84917376858925,,,,,,,,,0.6856677471980692,,,,
CCT5,P48643,4.84839859648759,,,,,,,,,0.6855983168387341,,,,
PTMA,P06454,4.82818381661541,,,,,,,,,0.6837837960197809,,,,
RANBP1,P43487,4.78684242049475,,,,,,,,,0.6800491310466008,,,,
RPL3,P39023,4.76746343673154,,,,,,,,,0.6782873709814676,,,,
ATIC,P31939,4.73588198183817,,,,,,,,,0.6754008712327952,,,,
ATP5F1B,P06576,4.69530153658765,,,,,,,,,0.6716634882892375,,,,
HNRNPA3,P51991,4.65974451988686,,,,,,,,,0.6683621062511702,,,,
PSME1,Q06323,4.6249387148287,,,,,,,,,0.665105982266822,,,,
TCP1,P17987,4.60342899478861,,,,,,,,,0.6630814487996979,,,,
TPM3,P06753,4.58985485332464,,,,,,,,,0.6617989518995975,,,,
PA2G4,Q9UQ80,4.5574448790404,,,,,,,,,0.6587214246943519,,,,
TPD52L2,O43399,4.54072134584338,,,,,,,,,0.6571248510144202,,,,
RPLP0,P05388,4.52551345170788,,,,,,,,,0.6556678601363867,,,,
PHB1,P35232,4.45648514966602,,,,,,,,,0.6489924636633736,,,,
CLTC,Q00610,4.42648804951778,,,,,,,,,0.6460592960637194,,,,
AHSG,P02765,4.42293039304143,,,,,,,,,0.6457101046067996,,,,
RPL31,P62899,4.41875198234865,,,,,,,,,0.6452996259750083,,,,
SNRPD2,P62316,4.40608212470127,,,,,,,,,0.6440525876790694,,,,
NAP1L1,P55209,4.40350627680456,,,,,,,,,0.6437986197276377,,,,
TALDO1,P37837,4.40199207971293,,,,,,,,,0.6436492568134073,,,,
RPS14,P62263,4.3974787747525,,,,,,,,,0.6432037519316336,,,,
B2M,P61769,4.39631434421647,,,,,,,,,0.6430887376818164,,,,
CAPG,P40121,4.37439034323598,,,,,,,,,0.6409175341541977,,,,
PSAT1,Q9Y617,4.35095877002501,,,,,,,,,0.63858496790879,,,,
DTYMK,P23919,4.33255576310683,,,,,,,,,0.6367441611040713,,,,
GOT2,P00505,4.31224786683363,,,,,,,,,0.6347037160247554,,,,
PSMA1,P25786,4.3010660542346,,,,,,,,,0.6335761123446777,,,,
CTSD,P07339,4.29615591052681,,,,,,,,,0.633080033830421,,,,
ACTN1,P12814,4.27169823891849,,,,,,,,,0.6306005656962094,,,,
RPL28,P46779,4.26269687432578,,,,,,,,,0.6296844505246187,,,,
