Gene_ID,Uniprot_ID,Concentration_µM,SRC_pKapp_sign,HCK_pKapp_sign,SRC_Kapp_sign,HCK_Kapp_sign,delta_pKapp,SRC_Complexome,HCK_Complexome,delta_complexome,log_Concentration_µM,log_SRC_Complexome,log_HCK_Complexome,log_delta_complexome,ratio_log_intra
RLA2,P99027,24.0012685792302,,,,,,,,,1.3802341968115843,,,,
ALDOA,P05064,5.1651433325974,,,,,,,,,0.7130823776837946,,,,
RAN,P62827,17.8529143042371,,,,,,,,,1.2517091203327864,,,,
TBA1C,P68373,0.257293508978081,,,,,,,,,-0.5895711700685504,,,,
RS9,Q6ZWN5,27.1320603530347,,,,,,,,,1.4334827744463823,,,,
1433E,P62259,10.0494068654303,,,,,,,,,1.0021404296498047,,,,
LDHB,P16125,1.95611873454914,,,,,,,,,0.29139521251419753,,,,
HSP7C,P63017,39.7314743452259,,,,,,,,,1.5991346810411629,,,,
RS20,P60867,20.9495550598988,,,,,,,,,1.3211748035752144,,,,
RS25,P62852,22.5157476927073,,,,,,,,,1.3524863733920152,,,,
K1C15,Q61414,0.0081668703114017,,,,,,,,,-2.0879443408838627,,,,
S10AB,P50543,2.45923071551278,,,,,,,,,0.3907992744783781,,,,
VDAC1,Q60932,5.38567993170803,,,,,,,,,0.7312405399363495,,,,
RS27A,P62983,18.336465185145,,,,,,,,,1.26331561821808,,,,
COTL1,Q9CQI6,18.2410913474029,,,,,,,,,1.2610508182016167,,,,
LMNA,P48678,14.2564795862233,,,,,,,,,1.1540122965515995,,,,
RS16,P14131,20.337808328944,,,,,,,,,1.3083041500650852,,,,
ANXA5,P48036,14.4005701069985,,,,,,,,,1.1583796858051418,,,,
HNRPC,Q9Z204,4.07452144024324,,,,,,,,,0.6100766074155073,,,,
CLIC1,Q9Z1Q5,6.12534352648537,,,,,,,,,0.7871304501750781,,,,
PRDX6,O08709,6.01618639541731,,,,,,,,,0.7793212832430205,,,,
EF1B,O70251,7.44803235009283,,,,,,,,,0.8720415543100604,,,,
IF5A1,P63242,34.1196405087372,,,,,,,,,1.5330044467072612,,,,
MYL6,Q60605,10.674182170181,,,,,,,,,1.0283346103871174,,,,
RS21,Q9CQR2,12.6387116689174,,,,,,,,,1.1017028062567902,,,,
CH60,P63038,11.145396214288,,,,,,,,,1.0470955120823238,,,,
EF1D,P57776,4.33588807008412,,,,,,,,,0.6370780624666182,,,,
HS90B,P11499,17.3502967256761,,,,,,,,,1.2393069065171993,,,,
TYB4,P20065,,,,,,,,,,,,,,
EF1G,Q9D8N0,11.0730248715521,,,,,,,,,1.0442662754021528,,,,
HNRPK,P61979,10.0711267361449,4.9607599036568,5.20944692200632,10.945613187890185,6.1738074145127735,-0.24868701834951956,0.025496924388129116,0.069883137276884,-0.04438621288875488,1.0030780612106565,-1.5935122039512464,-1.1556276063872328,1.3527519081775936,-0.43788459756401354
SET,Q9EQU5,17.6703339825892,,,,,,,,,1.2472447580763615,,,,
MIF,P34884,11.3984232285062,,,,,,,,,1.0568447784837838,,,,
RL7,P14148,11.1594968212174,,,,,,,,,1.047644612818827,,,,
RL27,P61358,15.1339967333582,,,,,,,,,1.1799536358899956,,,,
PEBP1,P70296,8.40908084168328,,,,,,,,,0.9247485276408706,,,,
TAGL2,Q9WVA4,7.88223557555221,,,,,,,,,0.8966494104374159,,,,
RACK1,P68040,16.8031691539009,,,,,,,,,1.225391199359836,,,,
PPIB,P24369,6.38708488937048,,,,,,,,,0.8053026883108227,,,,
RS3,P62908,17.6059183749912,,,,,,,,,1.2456586840377488,,,,
NUCL,P09405,17.8382901480838,,,,,,,,,1.2513532236477203,,,,
RS12,P63323,15.2084680757098,,,,,,,,,1.1820854704782178,,,,
PGAM1,Q9DBJ1,11.692485316859,,,,,,,,,1.0679068332043504,,,,
TYB10,Q6ZWY8,,,,,,,,,,,,,,
CALR,P14211,31.4610231690184,,,,,,,,,1.4977728425540522,,,,
