gene_id,uniprot_id,concentration_uM,pKapp
RS30,P62862,#N/A,#N/A
H2A2C,Q64523,3.88499420323756,#N/A
RL18A,P62717,7.93373493530899,#N/A
CAV1,P49817,#N/A,#N/A
FLNB,Q80X90,1.36468239875656,#N/A
RS15A,P62245,7.15746026105841,#N/A
UB2V1,Q9CZY3,#N/A,#N/A
SMD1,P62315,3.81009112140173,#N/A
SH3L3,Q91VW3,6.98028899548449,#N/A
RL34,Q9D1R9,7.71617045426901,#N/A
GDIR1,Q99PT1,9.6311287925671,#N/A
RS28,P62858,7.43358575841059,#N/A
PDIA1,P09103,12.2253883039638,#N/A
RL5,P47962,6.27778148978502,#N/A
H2B2B,Q64525,#N/A,#N/A
K1C18,P05784,#N/A,#N/A
#N/A,#N/A,#N/A,#N/A
HMGB1,P63158,5.49060844836606,#N/A
TKT,P40142,10.2864967265869,#N/A
MOES,P26041,3.8906579616655,#N/A
PTBP1,P17225,2.90296322487761,#N/A
IF4A1,P60843,13.1735822298775,#N/A
RL11,Q9CXW4,6.73045475958732,#N/A
PRDX6,O08709,6.01618639541731,#N/A
GRP75,P38647,6.64402888654213,#N/A
PSD11,Q8BG32,1.73714882042639,#N/A
RL23,P62830,7.03655664328426,#N/A
RL8,P62918,7.0279383851989,#N/A
HINT1,P70349,9.63493299646333,#N/A
GSTO1,O09131,0.450439748641049,#N/A
FLNA,Q8BTM8,3.10114758524162,#N/A
RS7,P62082,6.07069505365506,#N/A
PSME3,P61290,2.40527848265318,#N/A
GLU2B,O08795,1.78558228398138,#N/A
ATOX1,O08997,10.2140737492875,#N/A
FERM2,Q8CIB5,#N/A,#N/A
RL38,Q9JJI8,8.58128681486033,#N/A
RL30,P62889,7.45450841082113,#N/A
ANXA6,P14824,0.702454690955819,#N/A
CALX,P35564,5.10846476608687,#N/A
IPYR,Q9D819,2.57800597781891,#N/A
WDR1,O88342,8.09801555211601,#N/A
MDHM,P08249,14.9419969286186,#N/A
NTF2,P61971,2.10442752865896,#N/A
PSA7,Q9Z2U0,5.76189379093796,#N/A
RL35,Q6ZWV7,5.57099033328662,#N/A
PP14B,Q62084,1.63511690100179,#N/A
IMDH2,P24547,2.78214654747482,#N/A
SAHH3,Q68FL4,35.2317054106275,#N/A
C1TC,Q922D8,1.19815751274527,#N/A
TFR1,Q62351,4.24241846966963,#N/A
PNPH,P23492,1.4045073248157,#N/A
SPIT2,Q9WU03,#N/A,#N/A
PUR6,Q9DCL9,3.486992339303,#N/A
CAP1,P40124,16.7369878509787,#N/A
GDIB,Q61598,4.60396579568215,#N/A
TCPH,P80313,3.70033062294807,#N/A
PCBP1,P60335,4.26683509484877,#N/A
ARPC4,P59999,9.06338084146566,#N/A
TCPG,P80318,4.84151843615288,#N/A
TCPE,P80316,3.27578089198162,#N/A
PTMA,P26350,13.1773350270864,4.74925951480298
RANG,P34022,7.21283075776591,#N/A
RL3,P27659,5.70486518509129,#N/A
PUR9,Q9CWJ9,2.16417797344795,#N/A
ATPB,P56480,9.76306752074495,#N/A
ROA3,Q8BG05,6.6053204614314,#N/A
PSME1,P97371,3.37974586470243,#N/A
TCPA,P11983,9.26996466150649,#N/A
TPM3,P21107,3.03303371326337,#N/A
PA2G4,P50580,6.34160771046161,#N/A
TPD54,Q9CYZ2,1.59159213481995,#N/A
RLA0,P14869,4.72434677827049,#N/A
PHB1,P67778,4.69504603497252,#N/A
CLH1,Q68FD5,4.08852636616783,#N/A
FETUA,P29699,#N/A,#N/A
RL31,P62900,5.82866813457559,#N/A
SMD2,P62317,2.73588790866611,#N/A
NP1L1,P28656,2.42985769779183,#N/A
TALDO,Q93092,4.38326818561902,#N/A
RS14,P62264,6.04307439085259,#N/A
B2MG,P01887,0.861589548581318,#N/A
CAPG,P24452,10.087404209782,#N/A
SERC,Q99K85,7.17040999864382,#N/A
KTHY,P97930,0.200139864934206,#N/A
AATM,P05202,6.52995598183296,#N/A
PSA1,Q9R1P4,4.87084027462872,#N/A
CATD,P18242,4.8627721543925,#N/A
ACTN1,Q7TPR4,0.44299585525667,#N/A
RL28,P41105,4.81481178734204,#N/A
ILF2,Q9CXY6,0.628277145715779,#N/A
LEG3,P16110,16.816950197054,#N/A
G6PI,P06745,4.72136910341699,#N/A
TCPD,P80315,3.23105097646635,#N/A
FUBP2,Q3U0V1,2.36172270735839,#N/A
TGM2,P21981,0.0444821219425133,#N/A
PSME2,P97372,1.55115459735516,#N/A
SMD3,P62320,3.16563752548697,#N/A
FABP5,Q05816,10.1827521785068,#N/A
RS5,P97461,3.44341522057229,#N/A
LASP1,Q61792,1.0749156333901,4.35774361620194
BTF3,Q64152,3.31869784788367,#N/A
G3BP1,P97855,3.09008144594052,#N/A
MDHC,P14152,4.23864394604988,#N/A
AN32A,O35381,0.62277337175456,#N/A
GARS,Q9CZD3,2.74768710910715,#N/A
SLIRP,Q9D8T7,0.646153591014198,#N/A
HDGF,P51859,8.26225402474775,#N/A
#N/A,#N/A,#N/A,#N/A
ML12B,Q3THE2,3.9503564807732,#N/A
LRC59,Q922Q8,3.06944984859609,#N/A
HNRPL,Q8R081,2.49239343958331,4.23697205198881
UB2L3,P68037,7.590301782293,#N/A
XRCC5,P27641,0.0240578247842243,#N/A
CALU,O35887,3.1324042374626,#N/A
CNN3,Q9DAW9,#N/A,#N/A
HSP74,Q61316,3.80985781115355,#N/A
RAB7A,P51150,4.31746800407205,#N/A
TCPB,P80314,3.4507939115821,#N/A
XPO2,Q9ERK4,5.09623027501593,#N/A
CLIC4,Q9QYB1,3.78046078845563,#N/A
PSA6,Q9QUM9,4.45383473522035,#N/A
DUT,Q9CQ43,0.820730847067155,#N/A
TBB3,Q9ERD7,#N/A,#N/A
RCN1,Q05186,0.0326500992808549,#N/A
PSA3,O70435,4.83839933724616,#N/A
TBB2A,Q7TMM9,2.54985485616118,#N/A
SRSF1,Q6PDM2,3.20921955237378,#N/A
SH3L1,Q9JJU8,4.51938585665306,#N/A
SPTB2,Q62261,#N/A,#N/A
IF6,O55135,1.19741896768602,#N/A
KAD1,Q9R0Y5,#N/A,#N/A
PLIN3,Q9DBG5,0.146580472864777,#N/A
PEA15,Q62048,0.600129548033201,#N/A
CDC37,Q61081,0.932237888262681,#N/A
PSA5,Q9Z2U1,4.12114549636389,#N/A
FAS,P19096,2.69535353145153,#N/A
HSPB1,P14602,#N/A,#N/A
RUXF,P62307,2.17735439434021,#N/A
RL14,Q9CR57,4.91804965914698,#N/A
GANAB,Q8BHN3,2.60487938220174,#N/A
