Gene_ID,Uniprot_ID,Concentration_µM,SRC_pKapp_sign,HCK_pKapp_sign
RPL7A,P62424,7.90488388634479,#N/A,#N/A
MAPRE1,Q15691,7.88843062122861,#N/A,#N/A
PARK7,Q99497,7.85922678976909,#N/A,#N/A
SOD1,P00441,7.8247100683577,#N/A,#N/A
RPL22,P35268,7.80076962259609,#N/A,#N/A
STMN1,P16949,7.70078992319719,#N/A,#N/A
RPS17,P08708,7.68494657180463,#N/A,#N/A
CACYBP,Q9HB71,7.67094639720509,#N/A,#N/A
SUB1,P53999,7.4653280303962,#N/A,#N/A
PTGES3,Q15185,7.45815642607377,#N/A,#N/A
TBCA,O75347,7.45738166430391,#N/A,#N/A
VCP,P55072,7.45180055004337,#N/A,#N/A
RPS4X,P62701,7.41064705547837,#N/A,#N/A
RAB11B,Q15907,7.28410658962787,#N/A,#N/A
SHMT2,P34897,7.27343029786156,#N/A,#N/A
HSP90B1,P14625,7.2540036285299,#N/A,#N/A
EEF2,P13639,7.25172865863566,#N/A,#N/A
HSPA5,P11021,7.0767120853739,#N/A,#N/A
RPS2,P15880,7.07066085359601,#N/A,#N/A
CAVIN1,Q6NZI2,7.065570729834,4.53243216216751,4.72102648162556
CALM3,P0DP25,7.02701769133474,#N/A,#N/A
PRDX3,P30048,6.9601650597435,#N/A,#N/A
PCNA,P12004,6.79897577846892,#N/A,#N/A
PDIA3,P30101,6.7943175560674,#N/A,#N/A
ATP5F1A,P25705,6.78444119948263,#N/A,#N/A
NEDD8,Q15843,6.74312636417749,#N/A,#N/A
ERH,P84090,6.69550958139962,#N/A,#N/A
MYH9,P35579,6.65039164921809,#N/A,#N/A
CAPNS1,P04632,6.62074982661704,#N/A,#N/A
ANXA3,P12429,6.61209685677408,#N/A,#N/A
YWHAQ,P27348,6.60922327647577,#N/A,#N/A
FKBP1A,P62942,6.58242276524469,#N/A,#N/A
TPT1,P13693,6.56733637196356,#N/A,#N/A
PLEC,Q15149,6.52286453676847,#N/A,#N/A
H2BC21,Q16778,6.51358814324312,#N/A,#N/A
HNRNPU,Q00839,6.33075760333748,#N/A,#N/A
RPL18,Q07020,6.30582333825638,#N/A,#N/A
STIP1,P31948,6.30562229491264,#N/A,#N/A
AHNAK,Q09666,6.2586207487478,#N/A,#N/A
FAU,P62861,6.22187006806696,#N/A,#N/A
H2AC20,Q16777,6.21257076023861,#N/A,#N/A
RPL18A,Q02543,6.20660227714681,#N/A,#N/A
CAV1,Q03135,6.19859172503746,4.02083642190177,#N/A
FLNB,O75369,6.11892641604815,#N/A,#N/A
RPS15A,P62244,6.10210574926964,#N/A,#N/A
UBE2V1,Q13404,6.09401101171163,#N/A,#N/A
SNRPD1,P62314,6.03999406037838,#N/A,#N/A
SH3BGRL3,Q9H299,6.03623839445473,#N/A,#N/A
RPL34,P49207,6.01293220107362,#N/A,#N/A
ARHGDIA,P52565,6.00735185134051,#N/A,#N/A
RPS28,P62857,5.96678783440685,#N/A,#N/A
P4HB,P07237,5.96507741495582,#N/A,#N/A
RPL5,P46777,5.96197162694848,#N/A,#N/A
H2BC18,Q5QNW6,5.94799412970974,#N/A,#N/A
KRT18,P05783,5.9414615146643,#N/A,#N/A
RPL9P9,P32969,5.93076374818715,#N/A,#N/A
HMGB1,P09429,5.8779004342301,#N/A,#N/A
TKT,P29401,5.87541339843988,#N/A,#N/A
MSN,P26038,5.87466951700262,#N/A,#N/A
PTBP1,P26599,5.87201756207984,#N/A,#N/A
EIF4A1,P60842,5.81354970103456,#N/A,#N/A
RPL11,P62913,5.77138468926479,#N/A,#N/A
PRDX5,P30044,5.72106563198386,#N/A,#N/A
HSPA9,P38646,5.71980718292413,#N/A,#N/A
PSMD11,O00231,5.70389604418892,#N/A,#N/A
RPL23,P62829,5.68002560021949,#N/A,#N/A
RPL8,P62917,5.679004576528,#N/A,#N/A
HINT1,P49773,5.67021178848146,#N/A,#N/A
GSTO1,P78417,5.55126942625804,#N/A,#N/A
FLNA,P21333,5.53285932330971,#N/A,#N/A
RPS7,P62081,5.51289323106251,#N/A,#N/A
PSME3,P61289,5.48888482401144,#N/A,#N/A
PRKCSH,P14314,5.47661267218767,#N/A,#N/A
ATOX1,O00244,5.42767519138568,#N/A,#N/A
FERMT2,Q96AC1,5.41930395343642,#N/A,#N/A
RPL38,P63173,5.38692564124341,#N/A,#N/A
RPL30,P62888,5.37613311913495,#N/A,#N/A
ANXA6,P08133,5.34859383927535,#N/A,#N/A
CANX,P27824,5.32812398422223,#N/A,#N/A
PPA1,Q15181,5.30618527003278,#N/A,#N/A
WDR1,O75083,5.26603729673826,#N/A,#N/A
MDH2,P40926,5.24229842451036,#N/A,#N/A
NUTF2,P61970,5.21786172588014,#N/A,#N/A
PSMA7,O14818,5.17468957826343,#N/A,#N/A
RPL35,P42766,5.15427226058695,#N/A,#N/A
PPP1R14B,Q96C90,5.14181344732145,#N/A,#N/A
IMPDH2,P12268,5.11546075456335,#N/A,#N/A
AHCYL2,Q96HN2,5.10251614100177,#N/A,#N/A
MTHFD1,P11586,5.08113443759416,#N/A,#N/A
TFRC,P02786,5.07330471826616,#N/A,#N/A
PNP,P00491,5.06046064306912,#N/A,#N/A
SPINT2,O43291,5.04708206744825,#N/A,#N/A
PAICS,P22234,5.04288472694715,#N/A,#N/A
CAP1,Q01518,5.01801027471796,#N/A,#N/A
GDI2,P50395,4.94380110005484,#N/A,#N/A
CCT7,Q99832,4.9208421237292,#N/A,#N/A
PCBP1,Q15365,4.91853470918714,#N/A,#N/A
ARPC4,P59998,4.91206321881802,#N/A,#N/A
CCT3,P49368,4.84917376858925,#N/A,#N/A
CCT5,P48643,4.84839859648759,#N/A,#N/A
PTMA,P06454,4.82818381661541,#N/A,#N/A
RANBP1,P43487,4.78684242049475,#N/A,#N/A
RPL3,P39023,4.76746343673154,#N/A,#N/A
ATIC,P31939,4.73588198183817,#N/A,#N/A
ATP5F1B,P06576,4.69530153658765,#N/A,#N/A
HNRNPA3,P51991,4.65974451988686,#N/A,#N/A
PSME1,Q06323,4.6249387148287,#N/A,#N/A
TCP1,P17987,4.60342899478861,#N/A,#N/A
TPM3,P06753,4.58985485332464,#N/A,#N/A
PA2G4,Q9UQ80,4.5574448790404,#N/A,#N/A
TPD52L2,O43399,4.54072134584338,#N/A,#N/A
RPLP0,P05388,4.52551345170788,#N/A,#N/A
PHB1,P35232,4.45648514966602,#N/A,#N/A
CLTC,Q00610,4.42648804951778,#N/A,#N/A
AHSG,P02765,4.42293039304143,#N/A,#N/A
RPL31,P62899,4.41875198234865,#N/A,#N/A
SNRPD2,P62316,4.40608212470127,#N/A,#N/A
NAP1L1,P55209,4.40350627680456,#N/A,#N/A
TALDO1,P37837,4.40199207971293,#N/A,#N/A
