Human,Human,Human,Human,Human,Human,Human,Human,Human,Human,Human,Human,Human,Human,Human,Human,Human,Human,Human,Human,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse
SRC,SRC,SRC,SRC,SRC,SRC,SRC,SRC,HCK,HCK,HCK,HCK,HCK,HCK,HCK,HCK,SRC_minus_HCK,SRC_minus_HCK,SRC_minus_HCK,SRC_vs_HCK,SRC,SRC,SRC,SRC,SRC,SRC,SRC,SRC,HCK,HCK,HCK,HCK,HCK,HCK,HCK,HCK,SRC_minus_HCK,SRC_minus_HCK,SRC_minus_HCK,SRC_vs_HCK
gene_id,uniprot_id,concentration_uM,pKapp,Kapp,complexome,log_concentration_uM,log_complexome,gene_id,uniprot_id,concentration_uM,pKapp,Kapp,complexome,log_concentration_uM,log_complexome,delta_pKapp,delta_complexome,log_delta_complexome,ratio_log_complexome,gene_id,uniprot_id,concentration_uM,pKapp,Kapp,complexome,log_concentration_uM,log_complexome,gene_id,uniprot_id,concentration_uM,pKapp,Kapp,complexome,log_concentration_uM,log_complexome,delta_pKapp,delta_complexome,log_delta_complexome,ratio_log_complexome
,,,,,,,,,,,,,,,,,,,,Anp32c,Q64G17,0.0096177530625493,,,,-2.016926377703982,,Anp32c,Q64G17,0.0096177530625493,,,,-2.016926377703982,,,,,
,,,,,,,,,,,,,,,,,,,,Ifi204,P0DOV2,0.0085869866995831,,,,-2.06615920978116,,Ifi204,P0DOV2,0.0085869866995831,,,,-2.06615920978116,,,,,
,,,,,,,,,,,,,,,,,,,,Tlr13,Q6R5N8,0.0046539901816778,,,,-2.332174537260645,,Tlr13,Q6R5N8,0.0046539901816778,,,,-2.332174537260645,,,,,
,,,,,,,,,,,,,,,,,,,,AW551984,Q8BGF0,0.0002415481882993,,,,-3.616996215534396,,AW551984,Q8BGF0,0.0002415481882993,,,,-3.616996215534396,,,,,
,,,,,,,,,,,,,,,,,,,,Gm6657,A0A1B0GRJ3,,,,,,,Gm6657,A0A1B0GRJ3,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,Aldoart2,A6ZI47,,,,,,,Aldoart2,A6ZI47,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,Or6c7,A0A1L1SV77,,,,,,,Or6c7,A0A1L1SV77,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,Gm9048,A0A1W2P7H4,,,,,,,Gm9048,A0A1W2P7H4,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,Aldoart1,A6ZI46,,,,,,,Aldoart1,A6ZI46,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,Pin1rt1,Q3ULQ2,,,,,,,Pin1rt1,Q3ULQ2,,,,,,,,,,
PPIA,P62937,231.327152778161,,,,2.3642266124922653,,PPIA,P62937,231.327152778161,,,,2.3642266124922653,,,,,,PPIA,P17742,183.44864945405,,,,2.2635145188348798,,PPIA,P17742,183.44864945405,,,,2.2635145188348798,,,,,
