gene_id,uniprot_id,concentration_uM,pKapp,Kapp,complexome
RS2,P25444,9.30063049658202,,,
CAVN1,O54724,,,,
CALM3,P0DP28,,,,
PRDX3,P20108,2.2780845922819,,,
PCNA,P17918,13.513720898343,,,
PDIA3,P27773,27.1304516054141,,,
ATPA,Q03265,11.52942534455,,,
NEDD8,P29595,3.48859945762523,,,
ERH,P84089,4.2259140861483,,,
MYH9,Q8VDD5,4.76574318013121,,,
CPNS1,O88456,0.652571176721012,,,
ANXA3,O35639,0.942196170985648,,,
1433T,P68254,4.07906485221108,,,
FKB1A,P26883,1.68429556990366,,,
TCTP,P63028,7.28777421207244,,,
PLEC,Q9QXS1,1.83473389547263,,,
H2B2E,Q64524,,,,
HNRPU,Q8VEK3,4.72791637304897,,,
RL18,P35980,8.14845175409297,,,
STIP1,Q60864,3.48482479576673,,,
,,,,,
RS30,P62862,,,,
H2A2C,Q64523,3.88499420323756,,,
RL18A,P62717,7.93373493530899,,,
CAV1,P49817,,,,
FLNB,Q80X90,1.36468239875656,,,
RS15A,P62245,7.15746026105841,,,
UB2V1,Q9CZY3,,,,
SMD1,P62315,3.81009112140173,,,
SH3L3,Q91VW3,6.98028899548449,,,
RL34,Q9D1R9,7.71617045426901,,,
GDIR1,Q99PT1,9.6311287925671,,,
RS28,P62858,7.43358575841059,,,
PDIA1,P09103,12.2253883039638,,,
RL5,P47962,6.27778148978502,,,
H2B2B,Q64525,,,,
K1C18,P05784,,,,
,,,,,
HMGB1,P63158,5.49060844836606,,,
TKT,P40142,10.2864967265869,,,
MOES,P26041,3.8906579616655,,,
PTBP1,P17225,2.90296322487761,,,
IF4A1,P60843,13.1735822298775,,,
RL11,Q9CXW4,6.73045475958732,,,
PRDX6,O08709,6.01618639541731,,,
GRP75,P38647,6.64402888654213,,,
PSD11,Q8BG32,1.73714882042639,,,
RL23,P62830,7.03655664328426,,,
RL8,P62918,7.0279383851989,,,
HINT1,P70349,9.63493299646333,,,
GSTO1,O09131,0.450439748641049,,,
FLNA,Q8BTM8,3.10114758524162,,,
RS7,P62082,6.07069505365506,,,
PSME3,P61290,2.40527848265318,,,
GLU2B,O08795,1.78558228398138,,,
ATOX1,O08997,10.2140737492875,,,
FERM2,Q8CIB5,,,,
RL38,Q9JJI8,8.58128681486033,,,
RL30,P62889,7.45450841082113,,,
ANXA6,P14824,0.702454690955819,,,
CALX,P35564,5.10846476608687,,,
IPYR,Q9D819,2.57800597781891,,,
WDR1,O88342,8.09801555211601,,,
MDHM,P08249,14.9419969286186,,,
NTF2,P61971,2.10442752865896,,,
PSA7,Q9Z2U0,5.76189379093796,,,
RL35,Q6ZWV7,5.57099033328662,,,
PP14B,Q62084,1.63511690100179,,,
IMDH2,P24547,2.78214654747482,,,
SAHH3,Q68FL4,35.2317054106275,,,
C1TC,Q922D8,1.19815751274527,,,
TFR1,Q62351,4.24241846966963,,,
PNPH,P23492,1.4045073248157,,,
SPIT2,Q9WU03,,,,
PUR6,Q9DCL9,3.486992339303,,,
CAP1,P40124,16.7369878509787,,,
GDIB,Q61598,4.60396579568215,,,
TCPH,P80313,3.70033062294807,,,
PCBP1,P60335,4.26683509484877,,,
ARPC4,P59999,9.06338084146566,,,
TCPG,P80318,4.84151843615288,,,
TCPE,P80316,3.27578089198162,,,
PTMA,P26350,13.1773350270864,,,
RANG,P34022,7.21283075776591,,,
RL3,P27659,5.70486518509129,,,
PUR9,Q9CWJ9,2.16417797344795,,,
ATPB,P56480,9.76306752074495,,,
ROA3,Q8BG05,6.6053204614314,,,
PSME1,P97371,3.37974586470243,,,
TCPA,P11983,9.26996466150649,,,
TPM3,P21107,3.03303371326337,,,
PA2G4,P50580,6.34160771046161,,,
TPD54,Q9CYZ2,1.59159213481995,,,
RLA0,P14869,4.72434677827049,,,
PHB1,P67778,4.69504603497252,,,
CLH1,Q68FD5,4.08852636616783,,,
FETUA,P29699,,,,
RL31,P62900,5.82866813457559,,,
SMD2,P62317,2.73588790866611,,,
NP1L1,P28656,2.42985769779183,,,
TALDO,Q93092,4.38326818561902,,,
RS14,P62264,6.04307439085259,,,
B2MG,P01887,0.861589548581318,,,
CAPG,P24452,10.087404209782,,,
SERC,Q99K85,7.17040999864382,,,
KTHY,P97930,0.200139864934206,,,
AATM,P05202,6.52995598183296,,,
PSA1,Q9R1P4,4.87084027462872,,,
CATD,P18242,4.8627721543925,,,
ACTN1,Q7TPR4,0.44299585525667,,,
RL28,P41105,4.81481178734204,,,
ILF2,Q9CXY6,0.628277145715779,,,
LEG3,P16110,16.816950197054,,,
G6PI,P06745,4.72136910341699,,,
TCPD,P80315,3.23105097646635,,,
FUBP2,Q3U0V1,2.36172270735839,,,
TGM2,P21981,0.0444821219425133,,,
PSME2,P97372,1.55115459735516,,,
SMD3,P62320,3.16563752548697,,,
FABP5,Q05816,10.1827521785068,,,
RS5,P97461,3.44341522057229,,,
LASP1,Q61792,1.0749156333901,,,
BTF3,Q64152,3.31869784788367,,,
G3BP1,P97855,3.09008144594052,,,
MDHC,P14152,4.23864394604988,,,
AN32A,O35381,0.62277337175456,,,
GARS,Q9CZD3,2.74768710910715,,,
SLIRP,Q9D8T7,0.646153591014198,,,
HDGF,P51859,8.26225402474775,,,
,,,,,
ML12B,Q3THE2,3.9503564807732,,,
LRC59,Q922Q8,3.06944984859609,,,
HNRPL,Q8R081,2.49239343958331,,,
UB2L3,P68037,7.590301782293,,,
XRCC5,P27641,0.0240578247842243,,,
CALU,O35887,3.1324042374626,,,
CNN3,Q9DAW9,,,,
HSP74,Q61316,3.80985781115355,,,
RAB7A,P51150,4.31746800407205,,,
TCPB,P80314,3.4507939115821,,,
XPO2,Q9ERK4,5.09623027501593,,,
CLIC4,Q9QYB1,3.78046078845563,,,
PSA6,Q9QUM9,4.45383473522035,,,
DUT,Q9CQ43,0.820730847067155,,,
TBB3,Q9ERD7,,,,
RCN1,Q05186,0.0326500992808549,,,
PSA3,O70435,4.83839933724616,,,
TBB2A,Q7TMM9,2.54985485616118,,,
SRSF1,Q6PDM2,3.20921955237378,,,
SH3L1,Q9JJU8,4.51938585665306,,,
SPTB2,Q62261,,,,
IF6,O55135,1.19741896768602,,,
KAD1,Q9R0Y5,,,,
PLIN3,Q9DBG5,0.146580472864777,,,
PEA15,Q62048,0.600129548033201,,,
CDC37,Q61081,0.932237888262681,,,
PSA5,Q9Z2U1,4.12114549636389,,,
FAS,P19096,2.69535353145153,,,
HSPB1,P14602,,,,
RUXF,P62307,2.17735439434021,,,
